id,ppgG,ppgIR,ppgR,statusG,statusIR,statusR,timestamp
345,124750,7406597,5488193,0,0,0,1748698258964
346,123062,7396618,5479082,0,0,0,1748698259004
347,121822,7393819,5477569,0,0,0,1748698259044
348,121647,7398749,5484133,0,0,0,1748698259084
349,122260,7398201,5485107,0,0,0,1748698259124
350,122462,7393872,5482170,0,0,0,1748698259164
351,121398,7388884,5475133,0,0,0,1748698259204
352,120894,7389033,5474362,0,0,0,1748698259244
353,120738,7397913,5477772,0,0,0,1748698259284
354,119983,7396006,5473956,0,0,0,1748698259324
355,121447,7416844,5490427,0,0,0,1748698259364
356,125002,7452412,5520616,0,0,0,1748698259404
357,129279,7486692,5549820,0,0,0,1748698259444
358,132370,7495413,5557316,0,0,0,1748698259484
359,135461,7521310,5577050,0,0,0,1748698259524
360,138439,7546974,5597577,0,0,0,1748698259564
361,138244,7546204,5594180,0,0,0,1748698259604
362,136831,7542396,5592125,0,0,0,1748698259644
363,136924,7555651,5604523,0,0,0,1748698259684
364,137843,7564230,5611723,0,0,0,1748698259724
365,140334,7580192,5625985,0,0,0,1748698259764
366,143753,7596330,5640168,0,0,0,1748698259804
367,148081,7606015,5652672,0,0,0,1748698259844
368,151584,7609017,5658577,0,0,0,1748698259884
369,159333,7625813,5683046,0,0,0,1748698259924
370,158493,7615677,5658933,0,0,0,1748698259964
371,155689,7605557,5651794,0,0,0,1748698260004
372,158516,7609250,5656305,0,0,0,1748698260044
373,157674,7597432,5642345,0,0,0,1748698260084
374,159320,7591330,5637967,0,0,0,1748698260124
375,156671,7545806,5589443,0,0,0,1748698260164
376,154566,7520891,5565880,0,0,0,1748698260204
377,153754,7526177,5565841,0,0,0,1748698260244
378,152585,7539805,5572992,0,0,0,1748698260284
379,150416,7543876,5573559,0,0,0,1748698260324
380,149184,7559836,5586868,0,0,0,1748698260364
381,148880,7575050,5599043,0,0,0,1748698260404
382,148134,7583363,5605715,0,0,0,1748698260444
383,147217,7578541,5603535,0,0,0,1748698260484
384,146279,7581445,5606170,0,0,0,1748698260524
385,146036,7581093,5606607,0,0,0,1748698260564
386,147026,7593591,5617851,0,0,0,1748698260604
387,148658,7602021,5623346,0,0,0,1748698260644
388,151756,7612187,5632510,0,0,0,1748698260684
389,155217,7624782,5645665,0,0,0,1748698260724
390,160265,7631444,5652532,0,0,0,1748698260764
391,164432,7620229,5642386,0,0,0,1748698260804
392,168717,7604086,5636386,0,0,0,1748698260844
393,172767,7594250,5630257,0,0,0,1748698260884
394,175308,7594850,5636205,0,0,0,1748698260924
395,177658,7594736,5636519,0,0,0,1748698260964
396,179123,7593723,5634528,0,0,0,1748698261004
397,181262,7601962,5650760,0,0,0,1748698261044
398,183901,7607648,5657743,0,0,0,1748698261084
399,184177,7598380,5647634,0,0,0,1748698261124
400,187414,7590899,5644799,0,0,0,1748698261164
401,192880,7591181,5648862,0,0,0,1748698261204
402,197898,7592348,5651247,0,0,0,1748698261244
403,202046,7591916,5651478,0,0,0,1748698261284
404,205651,7593296,5653751,0,0,0,1748698261324
405,209470,7593162,5653046,0,0,0,1748698261364
406,212814,7596972,5655616,0,0,0,1748698261404
407,215216,7602136,5658785,0,0,0,1748698261444
408,216176,7606855,5663012,0,0,0,1748698261484
409,216458,7609811,5664319,0,0,0,1748698261524
410,216065,7625964,5677170,0,0,0,1748698261564
411,215233,7638076,5682217,0,0,0,1748698261604
412,214515,7654905,5692813,0,0,0,1748698261644
413,212531,7671816,5701735,0,0,0,1748698261684
414,210054,7673082,5702209,0,0,0,1748698261724
415,208300,7664889,5699045,0,0,0,1748698261764
416,208253,7659208,5710293,0,0,0,1748698261804
417,210164,7668917,5729284,0,0,0,1748698261844
418,210725,7679775,5733205,0,0,0,1748698261884
419,212745,7676371,5743605,0,0,0,1748698261924
420,213354,7687355,5745516,0,0,0,1748698261964
421,211358,7669075,5729564,0,0,0,1748698262004
422,209724,7641795,5716008,0,0,0,1748698262044
423,207334,7610647,5682069,0,0,0,1748698262084
424,205364,7572137,5663244,0,0,0,1748698262124
425,203389,7523320,5632038,0,0,0,1748698262164
426,201854,7510912,5617928,0,0,0,1748698262204
427,200022,7487876,5595573,0,0,0,1748698262244
428,198893,7482758,5584749,0,0,0,1748698262284
429,198599,7487223,5584848,0,0,0,1748698262324
430,198872,7495816,5594414,0,0,0,1748698262364
431,198609,7501211,5598918,0,0,0,1748698262404
432,198208,7505276,5603371,0,0,0,1748698262444
433,197037,7505246,5600110,0,0,0,1748698262484
434,196278,7511382,5603371,0,0,0,1748698262524
435,195666,7505143,5600704,0,0,0,1748698262564
436,194967,7491452,5590221,0,0,0,1748698262604
437,194961,7493482,5596066,0,0,0,1748698262644
438,195599,7508630,5607514,0,0,0,1748698262684
439,195542,7513220,5612120,0,0,0,1748698262724
440,194371,7510716,5610335,0,0,0,1748698262764
441,192159,7500430,5603632,0,0,0,1748698262804
442,189926,7495411,5601122,0,0,0,1748698262844
443,188705,7501420,5606174,0,0,0,1748698262884
444,188005,7499113,5604128,0,0,0,1748698262924
445,187741,7500811,5606844,0,0,0,1748698262964
446,187311,7495963,5602976,0,0,0,1748698263004
447,186160,7487603,5596408,0,0,0,1748698263044
448,185680,7505770,5608372,0,0,0,1748698263084
449,184953,7503569,5607414,0,0,0,1748698263124
450,184701,7495472,5603871,0,0,0,1748698263164
451,184431,7495545,5604312,0,0,0,1748698263204
452,184689,7504216,5612016,0,0,0,1748698263244
453,184501,7502790,5610005,0,0,0,1748698263284
454,184185,7504632,5611922,0,0,0,1748698263324
455,183553,7507488,5613798,0,0,0,1748698263364
456,181911,7505699,5612770,0,0,0,1748698263404
457,179683,7508397,5615747,0,0,0,1748698263444
458,177585,7504551,5611632,0,0,0,1748698263484
459,175698,7490063,5599946,0,0,0,1748698263524
460,174810,7483510,5594513,0,0,0,1748698263564
461,173996,7480176,5592494,0,0,0,1748698263604
462,171490,7459822,5572519,0,0,0,1748698263644
463,169099,7428618,5545487,0,0,0,1748698263684
